system,id,备注,url,风险等级,备注,
mis,46,司乘管理-司机管理-员工司机体验管理,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mEmployeeExperienceMgr/getList,2,,
mis,47,司乘管理-司机管理-司机业绩管理,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mLongRentCar/getList,3,,
mis,48,司乘管理-车辆管理-车辆品牌信息,mis.xiaojukeji.com/gulfstream/mis/blackwood/mis/mCarBrand/getList,1,,
mis,49,司乘管理-车辆管理-新车辆列表,mis.xiaojukeji.com/gulfstream/mis/kingslanding/driver/kCar/getCarList,1,,
mis,50,租赁公司-公司合同管理-公司列表,mis.xiaojukeji.com/gulfstream/mis/casterlyrock/company/mCompany/getCompanyList,3,,
mis,51,租赁公司-公司合同管理-公司详情,mis.xiaojukeji.com/gulfstream/mis/casterlyrock/company/mCompany/getCompanyBasicInfo,3,,
mis,52,租赁公司-网点管理-网点库存管理,mis.xiaojukeji.com/gulfstream/mis/riverrun/mis/mInventory/getInventoryList,2,,
mis,53,租赁公司-网点管理-网点列表,mis.xiaojukeji.com/gulfstream/mis/riverrun/mis/mReplenishStation/getReplenishStationList,1,,
mis,54,司机运营-奖励策略-盘古运营活动(新),mis.xiaojukeji.com/gulfstream/mis/riverrun/proxy/dispatch/dop/reward_mis/pangu/mPangu/getConfigList,1,,
mis,55,司机运营-奖励策略-司机运营活动(新),mis.xiaojukeji.com/gulfstream/mis/riverrun/misIntl/mActivity/getList,0,,
mis,56,司机运营-奖励策略-司机运营活动(新)-奖励发放明细,mis.xiaojukeji.com/gulfstream/mis/riverrun/misIntl/mActivityReward/getList,3,,
mis,57,司机运营-奖励策略-司机运营活动(新)-司机列表,mis.xiaojukeji.com/gulfstream/mis/riverrun/misIntl/mActivity/getDriverList,1,,
mis,58,系统管理-区域管理-围栏列表,mis.xiaojukeji.com/gulfstream/mis/stormsend/mis/mMapService/getMapServiceList,-1,,
mis,59,系统管理-区域管理-地理围栏管理=经纬度信息,mis.xiaojukeji.com/gulfstream/mis/stormsend/mis/brandCircle/getList,-1,,
mis,60,,mis.xiaojukeji.com/gulfstream/mis/riverrun/proxy/dispatch/dop/reward_mis/mis/mActivity/getList,0,,
mis,61,批量更新地图信息接口,mis.xiaojukeji.com/gulfstream/mis/stormsend/mis/mMapService/updateStatus,0,,
mis,62,,mis.xiaojukeji.com/gulfstream/mis/riverrun/proxy/dispatch/dop/reward_card/mis/welfareDriver/getWelfareDriverList,2,,
mis,63,超级任务编辑,mis.xiaojukeji.com/gulfstream/mis/riverrun/raptor/mRaptorConfig/modifyConfig,-1,,
mis,64,超级任务创建,mis.xiaojukeji.com/gulfstream/mis/riverrun/raptor/mRaptorConfig/createConfig,-1,,
mis,65,超级任务审核,mis.xiaojukeji.com/gulfstream/mis/riverrun/raptor/mRaptorConfig/updateStatus,-1,,
mis,66,城市,mis.xiaojukeji.com/gulfstream/mis/winterfell/finance/mCompensateDeduct/approve,-1,,
mis,67,乘客运营-乘客运营活动-创建按钮,mis-volcano.xiaojukeji.com/foundation/commonshare/v1/passengerActivityI18nMis/saveData,-1,,
mis,68,乘客运营-乘客运营活动-审核按钮,mis-volcano.xiaojukeji.com/foundation/commonshare/v1/passengerActivityI18nMis/auditActivity,-1,,
mis,69,订单补偿-审核,mis.xiaojukeji.com/gulfstream/mis/winterfell/order/kOrderCompensate/auditCompensate,-1,,
mis,70,订单补偿-新增,mis.xiaojukeji.com/gulfstream/mis/winterfell/order/kOrderCompensate/saveData,-1,,
mis,71,礼包管理-红包-查看-编辑,mis.volcano.intra.xiaojukeji.com/gulfstream/activity/mis/api/addChannel,-1,,
mis,72,渠道红包审核,mis.volcano.intra.xiaojukeji.com/gulfstream/activity/mis/api/audit,-1,,
mis,73,城市配置-城市定价配置-审核权限,mis.xiaojukeji.com/gulfstream/mis/eyrie/mCityPrice/auditCityPrice,-1,,
mis,74,审核/终止盘古,mis.xiaojukeji.com/gulfstream/mis/riverrun/pangu/mUpdateStatus/index,-1,,
mis,75,乘客运营-运营策略管理-审核主策略,mis.volcano.intra.xiaojukeji.com/metis/policyMisV3/mAuditPolicy,-1,,
